productID,productName,ProductDesc,price,unit
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
1|Apple|apple cell phone|500.00|10
2|Dell|dell computer|3000|5
3|office|ms office software|196|23
4|Apple|apple cell phone|500.00|10
5|Dell|dell computer|3000|5
6|office|ms office software|196|23
7|Apple|apple cell phone|500.00|10
8|Dell|dell computer|3000|5
9|office|ms office software|196|23
10|Apple|apple cell phone|500.00|10
11|Dell|dell computer|3000|5
12|office|ms office software|196|23
21|Apple|apple cell phone|500.00|10
22|Dell|dell computer|3000|5
23|office|ms office software|196|23
24|Apple|apple cell phone|500.00|10
25|Dell|dell computer|3000|5
26|office|ms office software|196|23
27|Apple|apple cell phone|500.00|10
28|Dell|dell computer|3000|5
29|office|ms office software|196|23
210|Apple|apple cell phone|500.00|10
211|Dell|dell computer|3000|5
212|office|ms office software|196|23
31|Apple|apple cell phone|500.00|10
32|Dell|dell computer|3000|5
33|office|ms office software|196|23
34|Apple|apple cell phone|500.00|10
35|Dell|dell computer|3000|5
36|office|ms office software|196|23
37|Apple|apple cell phone|500.00|10
38|Dell|dell computer|3000|5
39|office|ms office software|196|23
310|Apple|apple cell phone|500.00|10
311|Dell|dell computer|3000|5
312|office|ms office software|196|23
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
1|Apple|apple cell phone|500.00|10
2|Dell|dell computer|3000|5
3|office|ms office software|196|23
4|Apple|apple cell phone|500.00|10
5|Dell|dell computer|3000|5
6|office|ms office software|196|23
7|Apple|apple cell phone|500.00|10
8|Dell|dell computer|3000|5
9|office|ms office software|196|23
10|Apple|apple cell phone|500.00|10
11|Dell|dell computer|3000|5
12|office|ms office software|196|23
21|Apple|apple cell phone|500.00|10
22|Dell|dell computer|3000|5
23|office|ms office software|196|23
24|Apple|apple cell phone|500.00|10
25|Dell|dell computer|3000|5
26|office|ms office software|196|23
27|Apple|apple cell phone|500.00|10
28|Dell|dell computer|3000|5
29|office|ms office software|196|23
210|Apple|apple cell phone|500.00|10
211|Dell|dell computer|3000|5
212|office|ms office software|196|23
31|Apple|apple cell phone|500.00|10
32|Dell|dell computer|3000|5
33|office|ms office software|196|23
34|Apple|apple cell phone|500.00|10
35|Dell|dell computer|3000|5
36|office|ms office software|196|23
37|Apple|apple cell phone|500.00|10
38|Dell|dell computer|3000|5
39|office|ms office software|196|23
310|Apple|apple cell phone|500.00|10
311|Dell|dell computer|3000|5
312|office|ms office software|196|23
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
